Record ID	Book	Habitat	WGS_cont	WGS_contsub	WGS_province1	WGS_province2			
15868	Butterflies of the Carolinas	" open, disturbed sites including roadsides, oldfields, utility easements and fallow agricultural land"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15869	Butterflies of the Carolinas	"open woodlands, barrens, forest clearings andmargins, utility easements and along forest trails"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15870	Butterflies of the Carolinas	" woodland edges, adjacent open areas, gardens and parks. It typically dwells high up in the canopy close to its mistletoe host. Nonetheless, adults readily come down to feed on available flowers and can be closely observed."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15871	Butterflies of the Carolinas	" it frequents the margins of watercourses and adjacentopen areas where its wetland hosts can be found stream and river corridors and open, disturbedsites"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15872	Butterflies of the Carolinas	"wet meadows, bogs, stream margins, marshes"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15873	Butterflies of the Carolinas	" moist woodlands, forest edges, roadsideditches, along canals and ponds, wetlands and gardens; Males frequently perch on low vegetation or on the ground in sunlit locations."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15874	Butterflies of the Carolinas	" wet meadows, stream margins, pastures andother open areas near moist woodlands"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15875	Butterflies of the Carolinas	coastal mangroves and adjacent open areas	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15876	Butterflies of the Carolinas	" woodlands, forest edges and adjacent open,disturbed areas such as gardens"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15877	Butterflies of the Carolinas	" open woodlands, forest edges and adjacent open areas; It is a common butterfly of immature woodlands but is rarely encountered in large numbers.  Males perch on sunlit branches along trails or forest borders and make periodic exploratory flights."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15878	Butterflies of the Carolinas	" rich woodlands, stream corridors, swamp margins, forest edges and old fields"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15900	Butterflies of the Carolinas	"old fields, roadsides, pastures, freshwatermarshes, suburban gardens, agricultural land;  It is equally at homealong farm roads or in rural meadows as suburbanyards and urban parks."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15901	Butterflies of the Carolinas	"fields, rich woodlands, stream corridors, gardens "	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15902	Butterflies of the Carolinas	" deciduous forests, clearings, riparian woodlands, woodland roads, forest edges, wetland andwatercourse margins, and adjacent open areas including suburban yards, parks and golf courses"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15903	Butterflies of the Carolinas	" rich, moist deciduous mountain woodlands,stream corridors, forested roads, clearings and adjacent open areas"	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
15904	Butterflies of the Carolinas	" woodlands, forest edges, wooded swamps,pastures, old fields and suburban gardens;  rarely stray far from theirpreferred woodland habitat and are infrequent in urbanlocations."	7 Northern America	 78 Southeastern U.S.A.	 North Carolina (NCA-OO)	 South Carolina (SCA-OO)			
