Class	Text
Habitat	" open, disturbed sites including roadsides, oldfields, utility easements and fallow agricultural land"
Habitat	"open woodlands, barrens, forest clearings andmargins, utility easements and along forest trails"
Habitat	" woodland edges, adjacent open areas, gardens and parks. It typically dwells high up in the canopy close to its mistletoe host. Nonetheless, adults readily come down to feed on available flowers and can be closely observed."
Habitat	" it frequents the margins of watercourses and adjacentopen areas where its wetland hosts can be found stream and river corridors and open, disturbedsites"
Habitat	"wet meadows, bogs, stream margins, marshes"
Habitat	" moist woodlands, forest edges, roadsideditches, along canals and ponds, wetlands and gardens; Males frequently perch on low vegetation or on the ground in sunlit locations."
Habitat	" wet meadows, stream margins, pastures andother open areas near moist woodlands"
Habitat	coastal mangroves and adjacent open areas
Habitat	" woodlands, forest edges and adjacent open,disturbed areas such as gardens"
Habitat	" open woodlands, forest edges and adjacent open areas; It is a common butterfly of immature woodlands but is rarely encountered in large numbers.  Males perch on sunlit branches along trails or forest borders and make periodic exploratory flights."
Habitat	" rich woodlands, stream corridors, swamp margins, forest edges and old fields"
Habitat	"old fields, roadsides, pastures, freshwatermarshes, suburban gardens, agricultural land;  It is equally at homealong farm roads or in rural meadows as suburbanyards and urban parks."
Habitat	"fields, rich woodlands, stream corridors, gardens "
Habitat	" deciduous forests, clearings, riparian woodlands, woodland roads, forest edges, wetland andwatercourse margins, and adjacent open areas including suburban yards, parks and golf courses"
Habitat	" rich, moist deciduous mountain woodlands,stream corridors, forested roads, clearings and adjacent open areas"
Habitat	" woodlands, forest edges, wooded swamps,pastures, old fields and suburban gardens;  rarely stray far from theirpreferred woodland habitat and are infrequent in urbanlocations."
Habitat	" mixed forests, wooded swamps, forest edges,suburban gardens, old fields;  It is fond ofwoodlands and waterways, but is equally at home inmore urban areas. A common and conspicuous gardenvisitor;  often soar high in the treetops"
Habitat	" wooded swamps, hammocks, forest edges,suburban gardens, moist woodlands and evergreenswamps; the Palamedes Swallowtail is abundant in moistlowland woodlands and evergreen swamps. It may becommonly encountered in suburban gardens or alongroadsides."
Habitat	" fields, gardens, woodland edges, suburbanparks, disturbed sites; preference for open areas"
Habitat	 salt marshes and adjacent coastal areas
Habitat	"open, disturbed sites including roadsides,vacant lots and old fields;  Males often gather in small clusters on dampground."
Habitat	open pine woodlands
Habitat	" open woodlands, forest margins and clearings,scrub and bogs;  it seldom wandersremains Stands of its larval hosts; generally remain close to the ground,perching on low vegetation or resting on the ground itself."
Habitat	" open woodlands, forest margins and clearings,open, brushy fields, roadsides and scrub"
Habitat	" stream corridors, wet meadows, fields, pastures and suburban yards;  frequently encountered in suburban locations including home gardens."
Habitat	" open woodlands, forest margins and clearings,open, brushy fields, roadsides, scrub and utility easements;  Inhabiting a variety of open and semi-open landscapes that support stands of hard pines, the butterflyis commonly found in close association with youngertrees. Adults spend much of their time perched onhost branches, often high above the ground, but frequently venture down to nectar at nearby blossoms orsip moisture at damp soil."
Habitat	" deciduous woodlands, forest edges and clearings, shrubby areas, old fields and roadsides;  Found in variety of semi-open areas, thisspring species rarely strays far from stands of its larvalhost."
Habitat	" woodland margins, wet meadows, stream margins;   itis a butterfly of wet habitats preferring moist meadows, forest glades, and stream corridors.; The adults are not strongly restricted towet sites and often wander extensively into nearbyhabitats in search of nectar."
Habitat	" overgrown fields near forest margins, brushywoodland clearings, shrubby roadsides and trails, andunmanaged pastures or fencerows;  It frequents a variety of semi-open, brushy habitats in closeassociation with its somewhat weedy, thicket-forminghosts;  readily perch on the top of small treesor shrubs."
Habitat	" open, grassy areas including old fields, roadsides, vacant lots, pineland edges and clearings, andutility easements;  Adults avidly visit available flowers andfrequent home gardens."
Habitat	" oak woodlands, thickets and scrub, forest margins, roadsides, utility easements and trail edges"
Habitat	"mixed deciduous forests, clearings, roads andmargins, and adjacent open, often brushy, areas; A butterfly of mixed deciduous forests andsecond growth woodlands"
Habitat	" hardwood forests, stream margins and woodedswamps; Restricted to the shady confinesof hardwood forests and wooded swamps, it occurs inhighly localized populations in close association withits sole larval host;  Adults frequently perchon broad sunlit leaves but seldom venture into nearbyopen landscapes."
Habitat	" mixed deciduous forests, oak woodlands, forestclearings, roads and adjacent open areas;  theBanded Hairstreak is closely associated with mixedhardwood forests and can frequently be found alongwoodland edges or in sunlit clearings;  Males perch on shrubs or low, overhanging limbs and aggressively defend establishedterritories by engaging passing intruders."
Habitat	" dry. grassy areas including old fields, woodlandmeadows, pastures, forest clearings and easements; the Crossline Skipper canoften be readily distinguished from its relative on thebasis of habitat, preferring drier, open areas. Thespecies may be frequently encountered in more suburban locations including home gardens and lawns"
Habitat	" open grassy areas including pastures, roadsides, old fields, wet meadows, marshes, utilityeasements and lawns; fleck's Skipper is a butterfly of open, often moistgrassy areas;  It tolerates a wide range ofhuman-disturbed, grassy areas including roadsides andsuburban lawns."
Habitat	" open, disturbed areas including old fields, roadsides, vacant lots, open woodlands, forest edges,parks, lawns and gardens; Avidly fond of flowers, the butterflyis a frequent garden visitor."
Habitat	" woodland edges, oak scrub, adjacent open areas"
Habitat	" woodland edges, oak scrub, adjacent open areas"
Habitat	"mixed deciduous forests, thickets, forest clearings, woodland edges and adjacent open areas"
Habitat	" open grassy areas in or near woodlands andalong stream corridors; onetheless, this denizen of grassy woodland clearings, forest margins and stream corridors israther localized in occurrence and seldom encounteredin large numbers."
Habitat	" sunlit wooded stream margins, weedy disturbed sites, fallow agricultural land, forest edges andgardens; A butterfly of open, disturbed sites including suburbangardens, it is often found in close association with itsintroduced weedy larval host."
Habitat	" salt marshes and adjacent open areas, roadsides;  it is a locally common inhabitant ofcoastal salt marshes;  frequently visit available flowers along nearbyroads or in adjacent fields."
Habitat	" open woodlands, forest edges, roadsides, pastures, wetland edges, stream corridors and old fields;  Primarily a butterfly of woodlands andAdjacent open sites, it occasionally wanders into suburban gardens.; Males perch on sunlitranches along trails or clearings and engage passingobjects or rival males. Females generally prefer toremain within the confines of nearby shady sites."
Habitat	" open, sunny areas near woodlands includingforest clearings and margins, roadsides, fallow agricultural land, pastures, old fields and gardens;  Encountered in open habitats bordering woodlands, it readily ventures into nearbygardens in search of nectar."
Habitat	" moist woodlands, forest edges, wetlands, roadsides, pastures, old fields and gardens;  It is a frequent garden visitor."
Habitat	"moist, open woodlands, forest edges, wetlands, roadsides, pastures, old fields and gardens;  It regularly explores areas adjacent to its preferred moistwoodland habitat;  It is not commonlyencountered in home gardens. Males perch on lowgrowing vegetation in sunny areas for females."
Habitat	" open, disturbed areas including old fields, pastures, roadsides, parks, lawns and gardens;  The Sachem shares its affinity for open, disturbed sites with the Whirlabout and Fiery Skipperwith which it often flies"
